customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
XX84133,CA,M,Bachelor,525473,34476,67,1,Corporate Auto,Four-Door Car,5
ZW84453,AZ,F,Bachelor,511624,0,70,0,Personal Auto,Four-Door Car,131
HO29524,CA,M,College,303465,68205,76,0,Personal Auto,Two-Door Car,99
VE89726,CA,F,High School or Below,802490,0,119,1,Personal Auto,SUV,857
GE87503,CA,M,High School or Below,1821114,53690,154,0,Personal Auto,SUV,739
PX90263,OR,M,High School or Below,512156,0,72,0,Personal Auto,Four-Door Car,518
NI17718,CA,F,High School or Below,215018,0,61,0,Personal Auto,Four-Door Car,293
FY32213,CA,F,High School or Below,559539,74454,71,0,Personal Auto,Four-Door Car,341
RZ13254,NV,F,Bachelor,756282,0,73,0,Personal Auto,Four-Door Car,350
GN45013,OR,M,High School or Below,538585,29664,71,0,Personal Auto,Four-Door Car,341
NM39588,WA,F,Doctor,267806,72450,66,0,Corporate Auto,Four-Door Car,84
KU84464,NV,F,Bachelor,942257,47272,79,3,Personal Auto,Four-Door Car,65
YH43527,OR,F,College,360586,21585,92,0,Corporate Auto,Four-Door Car,442
RO30676,CA,F,College,776259,23827,106,2,Personal Auto,Four-Door Car,38
QL59704,AZ,F,College,2344490,69906,74,2,Corporate Auto,Four-Door Car,203
QH19450,CA,F,High School or Below,255818,0,72,0,Corporate Auto,Four-Door Car,346
SA54664,WA,M,Master,265438,73196,66,1,Personal Auto,Four-Door Car,86
CI38330,WA,M,Bachelor,254979,72217,6464,0,Personal Auto,Four-Door Car,91
WB38524,CA,M,High School or Below,296959,46131,74,0,Personal Auto,Two-Door Car,355
CE56187,OR,F,Master,436312,54514,109,3,Personal Auto,SUV,286
JL19416,CA,F,High School or Below,588431,0,161,0,Personal Auto,SUV,1159
JZ61422,NV,F,College,527219,96668,66,0,Personal Auto,Four-Door Car,317
LA13377,CA,M,Doctor,550990,78879,69,1,Personal Auto,Four-Door Car,467
NC99948,NV,M,College,1631368,0,69,0,Personal Auto,Four-Door Car,331
QD34785,AZ,F,Bachelor,567805,0,76,0,Personal Auto,Four-Door Car,365
RO26085,CA,F,Bachelor,1210121,0,112,0,Personal Auto,Luxury,1252
ES57969,OR,M,Bachelor,245357,29735,69,0,Personal Auto,Four-Door Car,331
JK55587,CA,M,High School or Below,507566,23082,65,0,Special Auto,Four-Door Car,312
RN97635,AZ,M,Bachelor,321498,53984,80,0,Corporate Auto,Four-Door Car,421
BI76326,CA,F,College,1227534,52135,156,0,Personal Auto,SUV,431
JA34909,CA,F,College,272221,17576,71,0,Corporate Auto,Four-Door Car,399
OJ90342,OR,F,Bachelor,245744,29486,62,0,Personal Auto,Four-Door Car,8
CM88932,OR,F,Master,355485,58557,88,0,Corporate Auto,Four-Door Car,56
JJ97525,CA,M,Bachelor,492955,25632,63,0,Personal Auto,Two-Door Car,351
XV21647,CA,F,High School or Below,803645,0,112,0,Personal Auto,Luxury,806
MC83487,AZ,M,Bachelor,427692,18768,68,3,Corporate Auto,Four-Door Car,647
BL90769,CA,F,Bachelor,3347335,33190,106,0,Personal Auto,SUV,509
CR57148,OR,F,Master,596058,47945,74,0,Personal Auto,Two-Door Car,128
CP85232,AZ,M,College,4479547,58778,126,0,Special Auto,SUV,302
YL74732,CA,F,High School or Below,383212,15192,100,0,Personal Auto,SUV,480
FG16766,CA,F,Bachelor,683793,51859,171,0,Personal Auto,SUV,1003
NV55438,NV,F,High School or Below,528527,23422,72,0,Personal Auto,Two-Door Car,518
RM10880,CA,F,College,309651,21604,79,0,Corporate Auto,Four-Door Car,379
GL56175,AZ,M,College,358971,79298,90,0,Personal Auto,Four-Door Car,244
UK52289,AZ,F,Bachelor,258241,76731,64,0,Special Auto,Four-Door Car,201
OT85112,WA,M,College,340392,38460,88,1,Personal Auto,Four-Door Car,92
BC62782,AZ,F,College,1357568,48534,115,1,Personal Auto,SUV,552
TI19722,WA,M,Doctor,343613,30817,88,0,Corporate Auto,Four-Door Car,92
JP30654,OR,F,College,2868583,48412,104,0,Personal Auto,SUV,707
UM45563,WA,M,Bachelor,450268,68798,114,0,Personal Auto,SUV,93
EN60878,OR,M,Bachelor,618311,23712,85,0,Personal Auto,Four-Door Car,376
JF36291,CA,M,College,387365,28142,105,0,Personal Auto,Luxury,702
BK59444,CA,F,Master,1892933,72196,68,0,Personal Auto,Four-Door Car,152
MK70700,CA,M,Master,555330,68197,69,0,Personal Auto,Four-Door Car,177
IW71076,CA,M,Bachelor,501126,75248,63,0,Corporate Auto,Four-Door Car,104
AP98768,CA,F,College,1044245,0,98,0,Personal Auto,Four-Door Car,942
OM24164,NV,M,Bachelor,219962,0,65,1,Personal Auto,Two-Door Car,468
HR85211,WA,F,Master,512317,89879,63,0,Personal Auto,Two-Door Car,94
VC87846,OR,M,High School or Below,748431,46998,96,0,Corporate Auto,Four-Door Car,461
ZM92052,OR,M,Bachelor,261302,57099,67,0,Personal Auto,Two-Door Car,68
ON73702,AZ,F,Bachelor,908064,33897,114,0,Corporate Auto,SUV,540
QQ90441,NV,F,High School or Below,1377098,59207,116,0,Personal Auto,Four-Door Car,557
HU35721,OR,M,High School or Below,287682,40171,73,0,Personal Auto,Four-Door Car,350
YP47665,WA,M,Doctor,540891,80192,67,0,Personal Auto,Four-Door Car,95
FU99476,WA,M,High School or Below,677031,74422,85,1,Personal Auto,Four-Door Car,95
AG85615,OR,M,College,2414388,0,87,0,Special Auto,Four-Door Car,626
OY74069,AZ,F,College,353806,0,67,5,Personal Auto,Four-Door Car,322
DJ91267,NV,F,Bachelor,2909124,34226,244,0,Personal Auto,Luxury,494
KB72438,CA,F,High School or Below,1983420,65989,123,1,Personal Auto,SUV,116
TR67616,OR,M,High School or Below,473137,30686,61,0,Corporate Auto,Four-Door Car,20
GF65731,CA,F,Master,3553785,0,113,0,Personal Auto,Luxury,800
HB67642,AZ,F,High School or Below,3461138,20090,109,0,Personal Auto,Luxury,523
DP84567,CA,M,High School or Below,2021631,0,183,0,Personal Auto,Luxury,878
VV77534,OR,M,College,1397652,77094,176,0,Personal Auto,SUV,444
GL67540,CA,F,College,590409,97413,73,0,Personal Auto,Four-Door Car,269
SV50502,OR,F,Master,559584,79189,69,0,Corporate Auto,Four-Door Car,331
UK59698,CA,F,High School or Below,229430,0,62,0,Personal Auto,Two-Door Car,298
OA57352,AZ,F,College,627391,18577,86,0,Personal Auto,Four-Door Car,413
ZF84449,OR,F,College,372673,0,112,1,Special Auto,Luxury,806
AX86150,WA,M,High School or Below,265671,62777,67,0,Personal Auto,Two-Door Car,101
HG39060,OR,M,Bachelor,511068,0,74,0,Corporate Auto,Four-Door Car,533
EM29359,NV,M,College,712660,17483,183,0,Personal Auto,Luxury,1318
SF57173,OR,M,Master,460163,84394,114,0,Personal Auto,SUV,691
OT47603,OR,M,College,915524,0,127,0,Personal Auto,Luxury,805
SW31412,OR,F,College,1480806,41440,62,1,Personal Auto,Four-Door Car,298
JS36322,AZ,M,High School or Below,890168,0,136,1,Personal Auto,Luxury,1091
RE81445,OR,F,College,573460,98132,71,0,Personal Auto,Two-Door Car,51
RM24280,OR,F,High School or Below,417770,0,112,0,Personal Auto,Four-Door Car,538
LC25393,CA,M,Bachelor,2777629,88220,230,0,Personal Auto,Luxury,152
UX38930,AZ,F,Master,1036435,58327,129,0,Personal Auto,SUV,347
HD95496,OR,M,Master,785190,25950,66,0,Personal Auto,Two-Door Car,272
RX24650,OR,M,High School or Below,477294,20993,133,0,Corporate Auto,SUV,638
DW19309,OR,M,High School or Below,1422650,65726,177,0,Corporate Auto,SUV,850
MT41386,WA,M,Bachelor,287543,84768,72,0,Personal Auto,Two-Door Car,110
WZ40465,WA,F,Bachelor,504130,36234,63,0,Personal Auto,Four-Door Car,114
DB42794,CA,M,College,436293,58842,110,0,Personal Auto,Four-Door Car,528
JB50798,OR,F,Master,962452,25629,124,2,Corporate Auto,Luxury,595
IP69763,WA,F,College,2191441,77311,181,0,Personal Auto,SUV,114
TE35785,CA,M,Doctor,694842,0,196,2,Personal Auto,Luxury,1337
HX74855,WA,M,High School or Below,247153,95697,61,0,Personal Auto,Two-Door Car,114
QN65180,OR,F,Bachelor,2190391,22254,79,0,Personal Auto,Four-Door Car,125
GE47180,NV,M,High School or Below,902882,65974,113,0,Personal Auto,Luxury,235
VQ38776,OR,F,College,530376,0,76,0,Personal Auto,Four-Door Car,395
BH86846,WA,M,High School or Below,2070826,92079,65,1,Corporate Auto,Four-Door Car,115
IN17648,NV,M,High School or Below,512377,0,74,0,Personal Auto,Two-Door Car,773
DF95759,OR,M,College,949234,0,132,0,Personal Auto,SUV,634
QG45324,OR,F,High School or Below,820486,0,73,0,Personal Auto,Four-Door Car,350
MN61620,AZ,F,College,987730,67752,131,4,Personal Auto,Luxury,169
YH86390,CA,F,Bachelor,481501,25398,64,0,Corporate Auto,Four-Door Car,307
FY13480,CA,M,High School or Below,627701,0,88,0,Personal Auto,Four-Door Car,634
YH61661,CA,M,High School or Below,826064,33321,105,0,Special Auto,SUV,504
NL93182,NV,M,Bachelor,254945,0,78,0,Corporate Auto,Four-Door Car,846
LN31673,WA,F,College,1131809,38923,99,2,Personal Auto,Four-Door Car,116
WE68644,OR,F,Bachelor,380392,20325,100,0,Personal Auto,Luxury,668
EZ30498,OR,M,Bachelor,863540,13129,117,0,Personal Auto,SUV,701
QY74517,OR,F,High School or Below,551056,0,73,0,Personal Auto,Four-Door Car,526
NM88660,NV,M,Master,358588,49080,91,0,Corporate Auto,Four-Door Car,25
MZ82036,NV,M,College,488925,42536,63,0,Personal Auto,Four-Door Car,375
ID20929,OR,M,Bachelor,275694,29926,74,0,Corporate Auto,Four-Door Car,418
EY50028,NV,M,Doctor,328955,0,86,0,Corporate Auto,Two-Door Car,398
TT82373,CA,F,Bachelor,1093718,21450,138,0,Personal Auto,Luxury,939
OH64088,CA,M,High School or Below,737557,33345,65,0,Corporate Auto,Four-Door Car,339
SK97780,CA,F,Bachelor,1011078,15752,90,0,Corporate Auto,Two-Door Car,339
IO33050,OR,F,High School or Below,511941,40169,65,1,Personal Auto,Four-Door Car,303
XA55917,CA,F,College,853383,26049,113,1,Personal Auto,SUV,619
JK32620,NV,M,College,222477,0,68,0,Personal Auto,Four-Door Car,326
RQ19236,AZ,M,Doctor,804280,55411,100,0,Personal Auto,Luxury,260
QC47433,OR,M,College,255444,12459,70,0,Personal Auto,Four-Door Car,336
RA93608,OR,M,Bachelor,1807394,64620,76,1,Personal Auto,Two-Door Car,365
XH97711,CA,M,Bachelor,243051,83140,61,0,Corporate Auto,Four-Door Car,179
AU96286,OR,F,Bachelor,316766,0,92,0,Corporate Auto,Four-Door Car,662
KC17170,AZ,F,Bachelor,546560,54422,68,0,Corporate Auto,Four-Door Car,76
ZN47335,CA,M,College,1035751,68309,131,0,Corporate Auto,SUV,307
EI46264,CA,M,High School or Below,253781,56621,65,2,Personal Auto,Four-Door Car,84
EK87864,AZ,F,College,282195,38977,70,0,Special Auto,Four-Door Car,139
GV45403,AZ,M,Bachelor,775713,0,111,0,Corporate Auto,Two-Door Car,607
QK31192,AZ,M,High School or Below,407913,0,114,0,Corporate Auto,Two-Door Car,631
LU89008,AZ,F,College,595554,0,83,0,Personal Auto,Four-Door Car,628
NS10490,OR,F,Bachelor,1415861,83235,70,0,Personal Auto,Two-Door Car,336
KL98495,NV,M,College,848724,0,74,0,Personal Auto,Two-Door Car,427
IU96845,AZ,M,College,628548,32390,80,0,Personal Auto,Four-Door Car,91
QL93655,OR,F,High School or Below,1147348,66538,95,0,Personal Auto,Two-Door Car,318
PF40592,WA,F,College,494263,23285,65,0,Personal Auto,Two-Door Car,118
LZ34046,OR,M,Bachelor,2359468,76358,66,0,Personal Auto,Four-Door Car,86
JC80093,WA,M,Master,257251,21104,66,0,Personal Auto,Four-Door Car,118
YE88490,AZ,F,College,538090,55350,67,0,Personal Auto,Four-Door Car,322
YC80498,CA,F,College,477055,12964,65,0,Personal Auto,Two-Door Car,363
AI85843,AZ,F,Master,675665,33288,86,2,Personal Auto,Four-Door Car,222
XD66024,AZ,F,College,593601,0,84,0,Personal Auto,Four-Door Car,980
FY51713,AZ,F,Bachelor,357076,56168,88,0,Personal Auto,Four-Door Car,615
PH26378,CA,M,College,601996,0,92,0,Personal Auto,Four-Door Car,662
WQ18638,OR,M,High School or Below,542686,23105,69,0,Personal Auto,Two-Door Car,331
KY14688,OR,F,Master,273031,36218,68,0,Personal Auto,Four-Door Car,145
TC97762,CA,F,High School or Below,498268,52275,62,0,Corporate Auto,Four-Door Car,374
QC87108,OR,F,College,876927,49665,74,0,Personal Auto,Four-Door Car,355
CX12134,NV,M,High School or Below,422061,32471,110,0,Personal Auto,Two-Door Car,528
SM73248,AZ,M,High School or Below,1153751,0,86,1,Corporate Auto,Two-Door Car,619
CK19789,CA,F,Master,588718,62773,73,0,Personal Auto,Four-Door Car,81
UV12583,CA,F,College,470058,76694,117,0,Personal Auto,SUV,562
JC11405,OR,M,High School or Below,1096396,55687,276,0,Personal Auto,Luxury,1325
KA89683,AZ,F,High School or Below,252317,0,70,0,Personal Auto,Four-Door Car,504
BG85305,NV,M,Doctor,375780,36633,96,1,Personal Auto,Four-Door Car,461
UQ87917,OR,M,High School or Below,1294173,77060,106,0,Personal Auto,SUV,469
XN11823,NV,F,Bachelor,376447,92600,94,0,Corporate Auto,Two-Door Car,842
OS46571,CA,M,High School or Below,688956,0,66,0,Personal Auto,Four-Door Car,475
PX17116,NV,M,College,362345,0,111,2,Corporate Auto,SUV,1172
RP19541,AZ,M,College,758211,64801,64,0,Personal Auto,Four-Door Car,268
ZR25747,OR,F,College,827775,45257,103,0,Corporate Auto,Two-Door Car,494
NQ86532,CA,M,High School or Below,257646,26854,66,0,Personal Auto,Four-Door Car,475
JY27336,OR,F,College,820539,85840,102,2,Corporate Auto,SUV,139
PB54378,OR,F,Doctor,1958247,26463,72,0,Corporate Auto,Four-Door Car,346
SV38190,NV,F,Bachelor,648153,30689,81,0,Personal Auto,Four-Door Car,467
CV24005,OR,M,High School or Below,259931,29590,66,0,Corporate Auto,Two-Door Car,468
EX28656,OR,F,College,983034,25965,253,0,Personal Auto,Luxury,1214
CF57022,OR,M,Bachelor,1044265,17269,139,0,Personal Auto,SUV,667
GM16780,OR,M,College,3605754,90330,137,3,Corporate Auto,Luxury,192
BX94438,CA,F,High School or Below,847004,0,113,0,Corporate Auto,SUV,620
RM41745,CA,F,High School or Below,827879,0,110,0,Personal Auto,Four-Door Car,1003
XR70252,CA,F,High School or Below,478893,0,67,1,Personal Auto,Two-Door Car,322
YH92099,AZ,F,Bachelor,308800,18558,80,0,Special Auto,Four-Door Car,384
SG81493,AZ,M,Bachelor,444374,46384,113,0,Corporate Auto,Four-Door Car,252
ZX23819,OR,F,High School or Below,798409,0,72,0,Personal Auto,Two-Door Car,866
FJ54907,OR,F,College,718097,42303,180,0,Personal Auto,Luxury,1211
CU26127,CA,F,Bachelor,1565603,71731,130,0,Corporate Auto,SUV,600
YH60476,OR,M,High School or Below,578018,51066,74,0,Corporate Auto,Four-Door Car,788
ZZ97035,CA,M,College,2071494,0,203,0,Corporate Auto,Luxury,2028
GE82737,NV,F,Bachelor,533735,0,86,3,Personal Auto,Four-Door Car,619
KY21873,AZ,M,College,505083,0,69,0,Personal Auto,Two-Door Car,73
UA51318,AZ,F,High School or Below,511662,26173,68,1,Corporate Auto,Four-Door Car,450
BV55014,OR,M,Bachelor,726874,24445,63,0,Personal Auto,Two-Door Car,302
HX21307,OR,M,College,261661,72302,66,0,Personal Auto,Two-Door Car,317
LQ68252,OR,M,High School or Below,373844,27208,102,0,Personal Auto,SUV,490
CR92802,CA,F,Master,272536,36650,69,1,Special Auto,Four-Door Car,57
SL35268,AZ,M,College,545386,30855,68,0,Corporate Auto,Four-Door Car,259
RD62882,AZ,F,Bachelor,684615,0,95,0,Personal Auto,Two-Door Car,456
JS42382,OR,M,Master,617291,99960,76,0,Corporate Auto,Four-Door Car,365
BT30554,AZ,F,Bachelor,1034632,0,98,0,Personal Auto,Four-Door Car,470
VP57424,NV,F,Bachelor,699701,55873,88,0,Personal Auto,Four-Door Car,299
VU19243,AZ,F,High School or Below,419626,18052,111,0,Personal Auto,Four-Door Car,699
TA82973,OR,F,High School or Below,785811,28937,104,2,Personal Auto,SUV,118
GK71720,OR,F,High School or Below,606434,0,86,0,Personal Auto,Four-Door Car,545
OQ61223,CA,M,College,1749752,0,73,0,Personal Auto,Two-Door Car,350
LL62746,OR,M,Doctor,897065,12829,118,0,Personal Auto,SUV,328
JQ56711,OR,F,Master,592312,92163,73,0,Personal Auto,Two-Door Car,67
AW77988,OR,M,High School or Below,3585060,17588,192,0,Personal Auto,Luxury,1382
QP84605,WA,F,Bachelor,870985,41546,111,0,Corporate Auto,Four-Door Car,121
MY97912,AZ,M,College,1330934,0,127,0,Personal Auto,SUV,610
IB87349,CA,M,High School or Below,452850,70340,113,0,Special Auto,Four-Door Car,542
AW73065,OR,F,High School or Below,279191,0,74,0,Personal Auto,Four-Door Car,533
BW80872,WA,M,High School or Below,443441,34549,111,0,Personal Auto,Four-Door Car,126
PX70175,AZ,M,College,799601,93459,99,0,Personal Auto,Four-Door Car,655
KF75098,AZ,M,Bachelor,512974,86148,65,2,Personal Auto,Four-Door Car,312
IS50283,CA,F,Bachelor,569718,27048,72,0,Corporate Auto,Four-Door Car,346
MY64920,OR,F,College,921713,73259,115,0,Personal Auto,SUV,673
KN34250,OR,F,College,1020893,35482,129,0,Corporate Auto,SUV,619
GN46207,OR,F,Master,417069,29462,107,1,Personal Auto,SUV,514
KL57176,OR,F,College,450541,67801,115,1,Personal Auto,SUV,24
MN94234,CA,M,High School or Below,310757,0,94,4,Personal Auto,Two-Door Car,451
JY90595,AZ,M,High School or Below,552866,16042,73,0,Personal Auto,Two-Door Car,350
HK26543,CA,M,High School or Below,504587,28056,64,1,Personal Auto,Four-Door Car,307
PN86062,CA,M,High School or Below,296272,16495,85,3,Corporate Auto,Four-Door Car,408
VW27730,CA,F,Master,866596,41163,108,0,Corporate Auto,SUV,232
SH55671,AZ,F,College,1141344,0,161,1,Personal Auto,Luxury,773
MO56878,CA,M,Bachelor,1548843,33799,109,3,Corporate Auto,SUV,665
VO38365,WA,F,College,886115,90125,110,0,Corporate Auto,SUV,129
SV35618,OR,F,Bachelor,593474,87747,147,1,Personal Auto,SUV,46
RX12347,NV,M,College,354323,35695,90,0,Personal Auto,Four-Door Car,432
FR55658,CA,M,Master,349003,90985,87,0,Personal Auto,Four-Door Car,78
XS12556,CA,F,College,368310,0,101,0,Corporate Auto,Luxury,564
ZU73588,CA,M,College,598977,66839,154,0,Personal Auto,Luxury,739
WT43034,CA,F,High School or Below,1250084,0,165,0,Personal Auto,SUV,792
VM13430,OR,F,Bachelor,860916,79090,107,0,Corporate Auto,SUV,289
TC78849,OR,M,Bachelor,249746,24825,64,0,Personal Auto,Two-Door Car,156
VC34764,CA,M,College,701918,26806,63,0,Personal Auto,Four-Door Car,302
WO90953,OR,F,College,538793,56835,67,0,Personal Auto,Two-Door Car,327
IU47468,OR,F,Bachelor,616556,0,88,0,Special Auto,Two-Door Car,654
KO46064,CA,M,Bachelor,273020,46135,69,0,Personal Auto,Four-Door Car,104
RB34917,AZ,F,Bachelor,516212,0,73,0,Personal Auto,Four-Door Car,810
BI38192,OR,F,High School or Below,793706,22862,67,0,Personal Auto,Two-Door Car,322
PU18983,OR,F,High School or Below,860816,21450,110,2,Personal Auto,Luxury,528
SW79912,OR,M,Bachelor,263255,95854,65,0,Personal Auto,Two-Door Car,312
ES39217,OR,F,Bachelor,778500,44897,99,1,Personal Auto,Four-Door Car,581
KP72427,WA,M,High School or Below,2163984,64455,108,0,Personal Auto,SUV,134
UA19178,OR,F,Master,498082,53265,62,0,Personal Auto,Four-Door Car,238
PR53785,AZ,F,High School or Below,745724,0,198,1,Personal Auto,Luxury,1578
XF57481,WA,M,Master,1064094,50450,90,0,Personal Auto,Two-Door Car,136
CN90378,CA,F,High School or Below,686251,54780,88,3,Personal Auto,Four-Door Car,135
KI56154,NV,M,High School or Below,904898,0,119,0,Personal Auto,Luxury,571
UI55951,CA,M,Bachelor,554803,67798,69,0,Personal Auto,Four-Door Car,331
FF28650,OR,M,Bachelor,831268,21442,118,0,Personal Auto,SUV,566
FS55302,CA,M,Bachelor,238998,27615,62,1,Personal Auto,Four-Door Car,298
TN79487,CA,M,Bachelor,445811,17622,65,1,Personal Auto,Four-Door Car,312
HG32616,NV,M,High School or Below,529574,50200,135,0,Personal Auto,Luxury,637
UK41984,AZ,F,Doctor,383961,0,112,2,Personal Auto,SUV,538
LZ52266,CA,F,High School or Below,373150,0,96,0,Personal Auto,Four-Door Car,461
PM27367,CA,F,Master,277890,73570,70,1,Special Auto,Two-Door Car,76
ZK21724,OR,F,High School or Below,401654,0,111,0,Personal Auto,SUV,799
BH35482,WA,M,Doctor,493095,70412,61,0,Corporate Auto,Two-Door Car,136
QE22757,NV,M,Doctor,249132,36631,62,0,Personal Auto,Four-Door Car,68
ON77649,OR,F,College,290888,35895,73,0,Personal Auto,Four-Door Car,313
RN82884,AZ,F,College,428295,40864,109,1,Personal Auto,SUV,167
CQ75652,OR,M,College,834162,0,118,0,Personal Auto,Four-Door Car,566
FF58467,AZ,F,Master,509078,93018,63,0,Personal Auto,Four-Door Car,135
BS83666,OR,M,Bachelor,736619,70014,62,0,Corporate Auto,Four-Door Car,18
WO29605,OR,F,College,243688,48875,61,0,Personal Auto,Two-Door Car,2
TL77607,CA,M,Bachelor,885269,67969,74,0,Personal Auto,Four-Door Car,198
EZ50606,OR,F,High School or Below,2387548,0,108,0,Corporate Auto,SUV,612
OS39723,OR,F,Doctor,560050,68665,69,0,Personal Auto,Two-Door Car,331
FN69743,CA,M,College,463655,26802,66,1,Corporate Auto,Two-Door Car,317
XW96958,NV,M,High School or Below,757335,0,110,0,Corporate Auto,Four-Door Car,1193
TU92578,CA,M,College,1469664,45345,125,0,Personal Auto,SUV,600
TL43709,WA,M,Bachelor,897214,89689,74,0,Personal Auto,Four-Door Car,137
YE68736,CA,F,Bachelor,772484,32051,193,1,Personal Auto,SUV,926
OB96537,OR,M,Master,594667,81139,74,0,Special Auto,Four-Door Car,393
EU68825,OR,F,Master,800055,63834,100,1,Personal Auto,Luxury,215
CC31456,AZ,M,Bachelor,645756,37548,81,0,Special Auto,Four-Door Car,161
DJ77787,AZ,F,High School or Below,728144,0,69,3,Personal Auto,Four-Door Car,372
LN26837,CA,M,High School or Below,259244,72421,65,0,Personal Auto,Four-Door Car,312
YI92916,NV,M,Master,467842,83102,116,0,Corporate Auto,Four-Door Car,444
NW54906,OR,M,College,1386993,28432,118,0,Personal Auto,SUV,612
ME77513,NV,F,Master,871778,83707,108,0,Corporate Auto,Four-Door Car,290
UK76891,CA,F,College,523399,63259,65,0,Corporate Auto,Four-Door Car,317
SI26888,NV,F,High School or Below,476419,0,67,0,Personal Auto,Four-Door Car,406
YD74948,OR,F,College,247247,63860,62,0,Personal Auto,Four-Door Car,209
HB64268,WA,M,Bachelor,281369,43836,73,0,Personal Auto,Four-Door Car,138
BW52697,CA,F,College,550506,86132,68,0,Personal Auto,Two-Door Car,301
NL41409,OR,F,Bachelor,260621,28519,66,0,Personal Auto,Two-Door Car,456
OD69005,AZ,F,High School or Below,1048194,39102,88,0,Personal Auto,Four-Door Car,152
ZZ91716,CA,F,Bachelor,325677,0,89,0,Personal Auto,Four-Door Car,492
UK70255,CA,F,College,3047578,97298,128,0,Personal Auto,Luxury,49
QT25383,NV,M,High School or Below,636490,41986,84,2,Personal Auto,Two-Door Car,430
AW18068,AZ,M,High School or Below,946851,0,88,0,Personal Auto,Two-Door Car,634
NS45347,OR,F,College,563145,17291,73,0,Personal Auto,Four-Door Car,350
FV19421,CA,M,Bachelor,778100,0,74,0,Personal Auto,Four-Door Car,246
XW89091,CA,M,College,981653,37256,62,0,Personal Auto,Four-Door Car,129
YC11951,OR,M,High School or Below,751913,96306,95,1,Corporate Auto,Four-Door Car,185
UY18770,CA,F,Bachelor,1017972,14290,271,0,Personal Auto,Luxury,1301
RA49085,CA,F,College,277284,37038,71,1,Corporate Auto,Four-Door Car,9
BG84194,OR,M,College,403750,90760,103,2,Special Auto,SUV,133
PT64580,WA,M,Master,419197,77048,103,0,Personal Auto,SUV,141
MR67738,OR,F,High School or Below,267687,54480,67,0,Personal Auto,Four-Door Car,322
DM95829,CA,M,College,252396,16244,68,0,Personal Auto,Two-Door Car,623
DB75522,CA,F,College,698840,22436,89,0,Special Auto,Four-Door Car,427
LM34525,WA,F,College,874206,71592,72,0,Personal Auto,Four-Door Car,142
WW30771,AZ,M,Master,267332,28728,67,0,Personal Auto,Four-Door Car,322
QP65569,AZ,M,High School or Below,1215733,57449,103,0,Personal Auto,Four-Door Car,494
TN50051,CA,F,Doctor,295776,83318,73,0,Personal Auto,Two-Door Car,211
UO86707,WA,M,Bachelor,717391,75217,61,1,Personal Auto,Four-Door Car,147
JA41698,NV,M,Bachelor,309954,0,102,5,Corporate Auto,SUV,863
NX18774,OR,M,Bachelor,841568,55308,107,0,Corporate Auto,SUV,514
DA69469,OR,F,College,2684312,36068,97,0,Personal Auto,Two-Door Car,113
CN23147,OR,M,Bachelor,1305717,48804,112,1,Corporate Auto,Four-Door Car,538
RA68844,OR,M,College,959995,0,131,0,Personal Auto,SUV,943
GH42026,OR,M,Bachelor,853511,55790,111,0,Personal Auto,SUV,118
BD16530,AZ,F,Bachelor,829348,70258,69,0,Personal Auto,Four-Door Car,225
JH91579,OR,F,Bachelor,684615,0,95,0,Personal Auto,Two-Door Car,456
WK23685,OR,F,Bachelor,663686,47274,83,1,Corporate Auto,Four-Door Car,182
GR62267,WA,F,College,560908,44705,71,0,Personal Auto,Two-Door Car,148
PI78084,AZ,M,High School or Below,507732,0,73,0,Personal Auto,Two-Door Car,526
GF97874,WA,F,Master,527563,70446,65,0,Personal Auto,Four-Door Car,156
ZH19885,WA,F,High School or Below,251459,43860,65,0,Personal Auto,Four-Door Car,156
UK25655,OR,F,Bachelor,343525,64348,86,0,Personal Auto,Two-Door Car,212
QR45101,OR,M,Bachelor,662461,0,62,0,Corporate Auto,Two-Door Car,298
EL93539,CA,M,Master,575744,88997,72,0,Special Auto,Four-Door Car,174
EE99484,WA,F,High School or Below,251459,43860,65,0,Corporate Auto,Four-Door Car,156
DP46882,CA,F,High School or Below,288645,10312,78,0,Corporate Auto,Four-Door Car,486
WP41146,CA,F,High School or Below,534144,0,72,1,Personal Auto,Four-Door Car,346
TK60799,AZ,F,High School or Below,416002,96263,103,0,Personal Auto,SUV,2
DN29808,CA,F,College,284625,28919,72,0,Corporate Auto,Four-Door Car,518
SS59521,OR,F,College,477026,0,68,1,Personal Auto,Two-Door Car,326
NG66579,OR,M,Bachelor,505962,41869,64,0,Personal Auto,Two-Door Car,262
TC14209,AZ,F,High School or Below,909574,0,128,0,Personal Auto,SUV,922
ED50963,CA,F,High School or Below,268886,32808,68,1,Personal Auto,Four-Door Car,542
GP40701,CA,F,Bachelor,827764,79780,68,0,Personal Auto,Four-Door Car,326
CP98451,OR,F,College,905794,91025,112,0,Personal Auto,SUV,328
NX52648,CA,F,High School or Below,380175,33043,95,0,Personal Auto,Two-Door Car,456
ZC32510,AZ,M,High School or Below,933934,69442,118,3,Personal Auto,Four-Door Car,1266
NG27780,OR,M,College,252012,0,70,0,Corporate Auto,Four-Door Car,63
HN95240,AZ,F,College,498410,0,70,0,Corporate Auto,Four-Door Car,336
EB59129,OR,F,Bachelor,259575,47234,65,0,Personal Auto,Four-Door Car,16
